Job Title,Company Name,Location,Skills,Years of Experience,Education,Job Type,Salary
Data Scientist,Microsoft,Atlanta; GA,"Azure, R, Pandas, Data Mining, Forecasting, SQL, Java, NumPy, Quantitative analysis, Cloud Computing, Python, Computer Science, Statistics, Research, APIs, Machine Learning",2,Bachelor; Doctorate; Master,Full-time,98;300 - 193;200 a year
Data Scientist,CVS Health,New York; NY,"R, Analytics, XML, JSON, Hadoop, CI/CD, Python, Computer Science, REST, Statistics, Statistical Analysis, Git, APIs, Machine Learning",Not specified,Master,Full-time,108;306 - 170;000 a year
Data Scientist,Sonatus,Remote,"AI, Spark, Deep Learning, Hadoop, Data Engineering, SQL, Data Analysis, Computer Science, TensorFlow, Research, PyTorch, Keras, Machine Learning",5,Doctorate,Full-time,99;000 - 300;000 a year
Data Scientist,CVS Health,Remote in New York; NY,"Spark, Azure, Computer Science, Big Data, Natural Language Processing, Statistical Software, Statistical Analysis, Research, PyTorch, R, Analytics, Scikit-learn, Data Mining, AWS, Hadoop, SQL, Statistics, Tableau, Machine Learning",Not specified,Master,Full-time,108;306 - 170;000 a year
Data Scientist-Staff,Intermountain Healthcare,Salt Lake City; UT,"Spark, Azure, NoSQL, Python, Computer Science, Big Data, Data Analysis, Natural Language Processing, AI, R, Analytics, Scala, Data Mining, AWS, Hadoop, SQL, Data Visualization, Statistics, MATLAB, Machine Learning",Not specified,Bachelor; Master,Full-time,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"AI, Software development, Data Mining, Big Data, Project Management, Agile, Machine Learning",4,Bachelor,Full-time,Not specified
Data Scientist,Deloitte,Los Angeles; CA,"AI, Github, Deep Learning, Pandas, Azure, NumPy, Scikit-learn, Data Analysis, Python, Computer Science, Statistics, TensorFlow, Machine learning frameworks, PyTorch, Git, Machine Learning",Not specified,Bachelor; Master,Full-time,Not specified
Data Scientist,Oracle,Redwood City; CA 94065  (Marine area),"AI, Sales, Analytics, Presentation Skills, Data Analysis, Agile, Product Management, Research, Leadership",8,Not Specified,Full-time,Not specified
Principal Data Scientist - Remote,UnitedHealthcare,Remote in Minnetonka; MN 55305,"AI, R, Analytics, JSON, Forecasting, SQL, Python, Agile, Git, Machine Learning",5,Master,Full-time,104;700 - 190;400 a year
Data Scientist,CVS Health,Chicago; IL,"Analytics, Data Mining, SQL, Natural Language Processing, SAS, Computer Science, Marketing, Statistics, Statistical Software, Tableau, Research, Machine Learning",Not specified,Master,Full-time,89;690 - 150;000 a year
Data Scientist,Apple,Cupertino; CA,"AI, Scripting, Matplotlib, Deep Learning, Computer Vision, Pandas, NumPy, Data Analysis, Python, TensorFlow, Research, PyTorch, Machine Learning",3,Not Specified,Not specified,138;900 - 256;500 a year
Data Scientist,Hewlett Packard,Spring; TX 77389,"AI, Analytics, Data Analytics, Statistics, Machine Learning",2,Not Specified,Not specified,70;400 - 108;400 a year
Data Scientist,Adobe,Seattle; WA 98103  (Fremont area),"Spark, Sales, Analytics, Excel, Data Analytics, Hadoop, Data Engineering, SQL, Python, Computer Science, Marketing, Statistics, Tableau, Power BI, Machine Learning",5,Doctorate,Full-time,107;900 - 192;300 a year
DATA SCIENTIST,City of Chicago,Chicago; IL 60622  (West Town area),"Analytics, Excel, Data Analytics, SQL, Data Visualization, Data Analysis, Computer Science, Statistics, Tableau, Research",Not specified,Bachelor; Doctorate; Master,Not specified,112;404 a year
Jr ML Data Scientist,Regrow,Remote,"Go, Deep Learning, Software development, Data Engineering, NumPy, Presentation Skills, Data Visualization, SciPy, Python, Computer Science, Statistics, Statistical Analysis, TensorFlow, PyTorch, Git, Keras, Machine Learning",Not specified,Not Specified,Not specified,Not specified
decision scientist; Tryer Center & Testing (Onsite; Seattle; WA),Starbucks,Seattle; WA 98134  (Industrial District area),"AI, Predictive Analysis, Go, Azure, R, Analytics, Excel, AWS, Data Engineering, SQL, Data Visualization, Data Analysis, Python, Agile, Statistics, Statistical Analysis, Tableau, Research",5,Bachelor,Full-time,108;100 - 162;300 a year
Data Scientist; Confluence,Atlassian,Remote in San Francisco; CA 94104,"Go, R, Analytics, Forecasting, SQL, Quantitative analysis, Python, Computer Science, Statistics, Tableau",4,Bachelor,Full-time,Not specified
Data Scientist,Spotify,New York; NY,"Matplotlib, R, Analytics, SQL, Data Analysis, Python, Scala, Tableau, Research, A/B Testing",3,Not Specified,Not specified,107;766 - 153;951 a year
